fecha;consumo_kWh
1/1/2018;407
1/1/2018;1182
1/1/2018;2816
1/1/2018;936
1/1/2018;1773
1/1/2018;2414
1/1/2018;1711
1/1/2018;471
1/1/2018;1282
1/1/2018;2055
1/1/2018;978
1/1/2018;1076
1/1/2018;1627
1/1/2018;511
1/1/2018;930
1/1/2018;1880
1/1/2018;868
1/1/2018;3370
1/1/2018;671
1/1/2018;649
1/1/2018;1372
1/1/2018;701
1/1/2018;565
1/1/2018;489
1/1/2018;713
1/1/2018;551
1/1/2018;1627
1/1/2018;753
1/1/2018;1357
1/1/2018;1013
1/1/2018;1047
1/1/2018;1292
1/1/2018;3997
1/1/2018;2514
1/1/2018;1694
1/1/2018;558
1/1/2018;671
1/1/2018;3992
1/1/2018;2423
1/1/2018;1382
1/1/2018;415
1/1/2018;756
1/1/2018;2335
1/1/2018;1096
1/1/2018;1154
1/1/2018;808
1/1/2018;2037
1/1/2018;1907
1/1/2018;1439
1/1/2018;1562
1/1/2018;1386
1/1/2018;2081
1/1/2018;1053
1/1/2018;2217
1/1/2018;2149
1/1/2018;2116
1/1/2018;3088
1/1/2018;1183
1/1/2018;626
1/1/2018;1603
1/1/2018;581
1/1/2018;2178
1/1/2018;1741
1/1/2018;726
1/1/2018;781
1/1/2018;578
1/1/2018;951
1/1/2018;846
1/1/2018;1424
1/1/2018;1114
1/1/2018;1580
1/1/2018;937
1/1/2018;1099
1/1/2018;131
1/1/2018;2111
1/1/2018;1680
1/1/2018;994
1/1/2018;1372
1/1/2018;1468
1/1/2018;1426
1/1/2018;1110
1/1/2018;1091
1/1/2018;1353
1/1/2018;1013
1/1/2018;1124
1/1/2018;2357
1/1/2018;597
1/1/2018;1163
1/1/2018;2800
1/1/2018;1552
1/1/2018;2435
1/1/2018;1438
1/1/2018;2168
1/1/2018;1591
1/1/2018;2008
1/1/2018;1410
1/1/2018;1043
1/1/2018;196
1/1/2018;0
1/1/2018;783
1/1/2018;2913
1/1/2018;1762
1/1/2018;2091
1/1/2018;2463
1/1/2018;560
1/1/2018;607
1/1/2018;3486
1/1/2018;25
1/1/2018;2383
1/1/2018;1628
1/1/2018;1076
1/1/2018;1499
1/1/2018;570
1/1/2018;649
1/1/2018;1137
1/1/2018;1121
1/1/2018;3253
1/1/2018;1040
1/1/2018;3923
1/1/2018;715
1/1/2018;870
1/1/2018;2761
1/1/2018;3055
1/1/2018;1521
1/1/2018;1618
1/1/2018;264
1/1/2018;1901
1/1/2018;2930
1/1/2018;1144
1/1/2018;1890
1/1/2018;2825
1/1/2018;823
1/1/2018;2183
1/1/2018;2143
1/1/2018;1848
1/1/2018;3256
1/1/2018;2164
1/1/2018;1229
1/1/2018;2094
1/1/2018;1571
1/1/2018;229
1/1/2018;2421
1/1/2018;115
1/1/2018;144
1/1/2018;2721
1/1/2018;1894
1/1/2018;2802
1/1/2018;1937
1/1/2018;727
1/1/2018;783
1/1/2018;651
1/1/2018;2117
1/1/2018;1742
1/1/2018;2428
1/1/2018;6988
1/1/2018;2554
1/1/2018;1720
1/1/2018;1566
1/1/2018;581
1/1/2018;884
1/1/2018;2547
1/1/2018;1138
1/1/2018;2416
1/1/2018;2439
1/1/2018;465
1/1/2018;788
1/1/2018;825
1/1/2018;1244
1/1/2018;1554
1/1/2018;1623
1/1/2018;5299
1/1/2018;1525
1/1/2018;1621
1/1/2018;970
1/1/2018;1999
1/1/2018;2187
1/1/2018;3429
1/1/2018;2240
1/1/2018;1187
1/1/2018;2115
1/1/2018;241
1/1/2018;272
1/1/2018;1460
1/1/2018;2102
1/1/2018;308
1/1/2018;1680
1/1/2018;854
1/1/2018;1568
1/1/2018;1162
1/1/2018;273
1/1/2018;1113
1/1/2018;2728
1/1/2018;1584
1/1/2018;1928
1/1/2018;2044
1/1/2018;3243
1/1/2018;1934
1/1/2018;1483
1/1/2018;1564
1/1/2018;1403
1/1/2018;4925
1/1/2018;3187,5
1/1/2018;1260
1/1/2018;1635
1/1/2018;838
1/1/2018;1931
1/1/2018;1356
1/1/2018;1610
1/1/2018;992
1/1/2018;565
1/1/2018;2184
1/1/2018;3193
1/1/2018;707
1/1/2018;153
1/1/2018;1
1/1/2018;3507
1/1/2018;2631
1/1/2018;732
1/1/2018;7065
1/1/2018;1779
1/1/2018;1793
1/1/2018;1048
1/1/2018;3705
1/1/2018;864
1/1/2018;1105
1/1/2018;2793
1/1/2018;2445
1/1/2018;646
1/1/2018;1001
1/1/2018;2241
1/1/2018;1380
1/1/2018;1836
1/1/2018;1143
1/1/2018;2046
1/1/2018;1047
1/1/2018;1339
1/1/2018;1536
1/1/2018;1390
1/1/2018;1527,96
1/1/2018;2382
1/1/2018;2974
1/1/2018;821
1/1/2018;2
1/1/2018;2024,7
1/1/2018;238
1/1/2018;168
1/1/2018;247
1/1/2018;171
1/1/2018;1284
1/1/2018;557
1/1/2018;202
1/1/2018;4218
1/1/2018;1590
1/1/2018;1833
1/1/2018;1332
1/1/2018;1025
1/1/2018;1417
1/1/2018;382
1/1/2018;1003
1/1/2018;2614
1/1/2018;976
1/1/2018;963
1/1/2018;3267
1/1/2018;977
1/1/2018;508
1/1/2018;1269
1/1/2018;204
1/1/2018;1096
1/1/2018;1891
1/1/2018;494
